년월,year_num,month_num,region_name,cumulative_count,region_order,monthly_increase,yoy_diff,total_cumulative_count,share_pct,is_latest_ym
2010-01-01,2010,1,강원,0,10,0.0,,0,,N
2010-02-01,2010,2,강원,0,10,0.0,,0,,N
2010-03-01,2010,3,강원,0,10,0.0,,0,,N
2010-04-01,2010,4,강원,0,10,0.0,,0,,N
2010-05-01,2010,5,강원,0,10,0.0,,0,,N
2010-06-01,2010,6,강원,0,10,0.0,,0,,N
2010-07-01,2010,7,강원,0,10,0.0,,0,,N
2010-08-01,2010,8,강원,0,10,0.0,,0,,N
2010-09-01,2010,9,강원,0,10,0.0,,4,0.0,N
2010-10-01,2010,10,강원,0,10,0.0,,5,0.0,N
2010-11-01,2010,11,강원,0,10,0.0,,5,0.0,N
2010-12-01,2010,12,강원,0,10,0.0,,5,0.0,N
2011-01-01,2011,1,강원,0,10,0.0,0.0,5,0.0,N
2011-02-01,2011,2,강원,0,10,0.0,0.0,5,0.0,N
2011-03-01,2011,3,강원,0,10,0.0,0.0,5,0.0,N
2011-04-01,2011,4,강원,0,10,0.0,0.0,5,0.0,N
2011-05-01,2011,5,강원,0,10,0.0,0.0,5,0.0,N
2011-06-01,2011,6,강원,0,10,0.0,0.0,5,0.0,N
2011-07-01,2011,7,강원,0,10,0.0,0.0,7,0.0,N
2011-08-01,2011,8,강원,0,10,0.0,0.0,7,0.0,N
2011-09-01,2011,9,강원,0,10,0.0,0.0,12,0.0,N
2011-10-01,2011,10,강원,1,10,1.0,1.0,30,3.3333,N
2011-11-01,2011,11,강원,1,10,0.0,1.0,54,1.8519,N
2011-12-01,2011,12,강원,5,10,4.0,5.0,198,2.5253,N
2012-01-01,2012,1,강원,5,10,0.0,5.0,207,2.4155,N
2012-02-01,2012,2,강원,5,10,0.0,5.0,207,2.4155,N
2012-03-01,2012,3,강원,5,10,0.0,5.0,208,2.4038,N
2012-04-01,2012,4,강원,5,10,0.0,5.0,209,2.3923,N
2012-05-01,2012,5,강원,5,10,0.0,5.0,212,2.3585,N
2012-06-01,2012,6,강원,6,10,1.0,6.0,214,2.8037,N
2012-07-01,2012,7,강원,6,10,0.0,6.0,215,2.7907,N
2012-08-01,2012,8,강원,6,10,0.0,6.0,219,2.7397,N
2012-09-01,2012,9,강원,6,10,0.0,6.0,221,2.7149,N
2012-10-01,2012,10,강원,6,10,0.0,5.0,222,2.7027,N
2012-11-01,2012,11,강원,7,10,1.0,6.0,225,3.1111,N
2012-12-01,2012,12,강원,7,10,0.0,2.0,232,3.0172,N
2013-01-01,2013,1,강원,7,10,0.0,2.0,232,3.0172,N
2013-02-01,2013,2,강원,7,10,0.0,2.0,234,2.9915,N
2013-03-01,2013,3,강원,7,10,0.0,2.0,234,2.9915,N
2013-04-01,2013,4,강원,7,10,0.0,2.0,236,2.9661,N
2013-05-01,2013,5,강원,7,10,0.0,2.0,236,2.9661,N
2013-06-01,2013,6,강원,7,10,0.0,1.0,236,2.9661,N
2013-07-01,2013,7,강원,7,10,0.0,1.0,236,2.9661,N
2013-08-01,2013,8,강원,7,10,0.0,1.0,237,2.9536,N
2013-09-01,2013,9,강원,7,10,0.0,1.0,240,2.9167,N
2013-10-01,2013,10,강원,7,10,0.0,1.0,249,2.8112,N
2013-11-01,2013,11,강원,7,10,0.0,0.0,288,2.4306,N
2013-12-01,2013,12,강원,10,10,3.0,3.0,501,1.996,N
2014-01-01,2014,1,강원,10,10,0.0,3.0,622,1.6077,N
2014-02-01,2014,2,강원,10,10,0.0,3.0,637,1.5699,N
2014-03-01,2014,3,강원,10,10,0.0,3.0,645,1.5504,N
2014-04-01,2014,4,강원,10,10,0.0,3.0,741,1.3495,N
2014-05-01,2014,5,강원,10,10,0.0,3.0,751,1.3316,N
2014-06-01,2014,6,강원,14,10,4.0,7.0,872,1.6055,N
2014-07-01,2014,7,강원,14,10,0.0,7.0,1085,1.2903,N
2014-08-01,2014,8,강원,14,10,0.0,7.0,1178,1.1885,N
2014-09-01,2014,9,강원,24,10,10.0,17.0,1238,1.9386,N
2014-10-01,2014,10,강원,26,10,2.0,19.0,1267,2.0521,N
2014-11-01,2014,11,강원,31,10,5.0,24.0,1365,2.2711,N
2014-12-01,2014,12,강원,32,10,1.0,22.0,1521,2.1039,N
2015-01-01,2015,1,강원,32,10,0.0,22.0,1729,1.8508,N
2015-02-01,2015,2,강원,32,10,0.0,22.0,1786,1.7917,N
2015-03-01,2015,3,강원,40,10,8.0,30.0,1832,2.1834,N
2015-04-01,2015,4,강원,45,10,5.0,35.0,1951,2.3065,N
2015-05-01,2015,5,강원,45,10,0.0,35.0,2097,2.1459,N
2015-06-01,2015,6,강원,52,10,7.0,38.0,2487,2.0909,N
2015-07-01,2015,7,강원,55,10,3.0,41.0,2692,2.0431,N
2015-08-01,2015,8,강원,57,10,2.0,43.0,2957,1.9276,N
2015-09-01,2015,9,강원,60,10,3.0,36.0,3256,1.8428,N
2015-10-01,2015,10,강원,60,10,0.0,34.0,3385,1.7725,N
2015-11-01,2015,11,강원,60,10,0.0,29.0,3500,1.7143,N
2015-12-01,2015,12,강원,61,10,1.0,29.0,3595,1.6968,N
2016-01-01,2016,1,강원,61,10,0.0,29.0,3657,1.668,N
2016-02-01,2016,2,강원,61,10,0.0,29.0,3719,1.6402,N
2016-03-01,2016,3,강원,69,10,8.0,29.0,3793,1.8191,N
2016-04-01,2016,4,강원,69,10,0.0,24.0,3906,1.7665,N
2016-05-01,2016,5,강원,70,10,1.0,25.0,3979,1.7592,N
2016-06-01,2016,6,강원,72,10,2.0,20.0,4108,1.7527,N
2016-07-01,2016,7,강원,72,10,0.0,17.0,4145,1.737,N
2016-08-01,2016,8,강원,73,10,1.0,16.0,4225,1.7278,N
2016-09-01,2016,9,강원,73,10,0.0,13.0,4354,1.6766,N
2016-10-01,2016,10,강원,74,10,1.0,14.0,4452,1.6622,N
2016-11-01,2016,11,강원,76,10,2.0,16.0,4678,1.6246,N
2016-12-01,2016,12,강원,76,10,0.0,15.0,4944,1.5372,N
2017-01-01,2017,1,강원,76,10,0.0,15.0,5069,1.4993,N
2017-02-01,2017,2,강원,79,10,3.0,18.0,5107,1.5469,N
2017-03-01,2017,3,강원,79,10,0.0,10.0,5170,1.528,N
2017-04-01,2017,4,강원,79,10,0.0,10.0,5248,1.5053,N
2017-05-01,2017,5,강원,81,10,2.0,11.0,5520,1.4674,N
2017-06-01,2017,6,강원,82,10,1.0,10.0,5758,1.4241,N
2017-07-01,2017,7,강원,109,10,27.0,37.0,6115,1.7825,N
2017-08-01,2017,8,강원,120,10,11.0,47.0,6441,1.8631,N
2017-09-01,2017,9,강원,156,10,36.0,83.0,6987,2.2327,N
2017-10-01,2017,10,강원,161,10,5.0,87.0,7307,2.2034,N
2017-11-01,2017,11,강원,170,10,9.0,94.0,7790,2.1823,N
2017-12-01,2017,12,강원,170,10,0.0,94.0,8550,1.9883,N
2018-01-01,2018,1,강원,170,10,0.0,94.0,8775,1.9373,N
2018-02-01,2018,2,강원,172,10,2.0,93.0,8872,1.9387,N
2018-03-01,2018,3,강원,192,10,20.0,113.0,9462,2.0292,N
2018-04-01,2018,4,강원,220,10,28.0,141.0,10377,2.1201,N
2018-05-01,2018,5,강원,264,10,44.0,183.0,11793,2.2386,N
2018-06-01,2018,6,강원,334,10,70.0,252.0,14857,2.2481,N
2018-07-01,2018,7,강원,380,10,46.0,271.0,17396,2.1844,N
2018-08-01,2018,8,강원,459,10,79.0,339.0,19575,2.3448,N
2018-09-01,2018,9,강원,560,10,101.0,404.0,22906,2.4448,N
2018-10-01,2018,10,강원,680,10,120.0,519.0,26690,2.5478,N
2018-11-01,2018,11,강원,850,10,170.0,680.0,30559,2.7815,N
2018-12-01,2018,12,강원,892,10,42.0,722.0,32559,2.7396,N
