년월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계,year_num,month_num,calc_sum,sum_match_yn
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,0,Y
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,2,0,Y
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,3,0,Y
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,4,0,Y
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,5,0,Y
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,6,0,Y
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,7,0,Y
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,8,0,Y
2010-09-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2010,9,4,Y
2010-10-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2010,10,5,Y
2010-11-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2010,11,5,Y
2010-12-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2010,12,5,Y
2011-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2011,1,5,Y
2011-02-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2011,2,5,Y
2011-03-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2011,3,5,Y
2011-04-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2011,4,5,Y
2011-05-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2011,5,5,Y
2011-06-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2011,6,5,Y
2011-07-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2011,7,7,Y
2011-08-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2011,8,7,Y
2011-09-01,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,12,2011,9,12,Y
2011-10-01,20,0,0,0,0,1,1,0,2,1,0,0,0,0,0,5,0,30,2011,10,30,Y
2011-11-01,24,0,0,2,0,1,5,0,10,1,0,0,0,0,3,8,0,54,2011,11,54,Y
